Statistical profiling result from build/isolate-0x6915390-370590-v8.log, (496691 ticks, 63 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.0%  LazyCompile: *_addListener node:events:418:22
      4    0.0%    0.0%  LazyCompile: *Headers /home/elihai/LaravelProjects/tradingBot/bot_core/node_modules/.pnpm/node-fetch@2.6.7/node_modules/node-fetch/lib/index.js:714:13
      4    0.0%    0.0%  LazyCompile: *FutureTrader file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:26:16
      4    0.0%    0.0%  LazyCompile: *CandleStick file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/DataManager.js:532:16
      4    0.0%    0.0%  LazyCompile: *BasePlacer.countDecimals file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:29:39
      4    0.0%    0.0%  Function: ^step file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:6:22
      4    0.0%    0.0%  Function: ^checkOrder file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/DataManager.js:341:15
      4    0.0%    0.0%  Function: ^BasePlacer.roundPrice file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:24:27
      3    0.0%    0.0%  RegExp: ^((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])$
      3    0.0%    0.0%  RegExp: ^((?:(?:[0-9a-fA-F]{1,4}):){7}(?:(?:[0-9a-fA-F]{1,4})|:)|(?:(?:[0-9a-fA-F]{1,4}):){6}(?:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|:(?:[0-9a-fA-F]{1,4})|:)|(?:(?:[0-9a-fA-F]{1,4}):){5}(?::((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(:(?:[0-9a-fA-F]{1,4})){1,2}|:)|(?:(?:[0-9a-fA-F]{1,4}):){4}(?:(:(?:[0-9a-fA-F]{1,4})){0,1}:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(:(?:[0-9a-fA-F]{1,4})){1,3}|:)|(?:(?:[0-9a-fA-F]{1,4}):){3}(?:(:(?:[0-9a-fA-F]{1,4})){0,2}:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(:(?:[0-9a-fA-F]{1,4})){1,4}|:)|(?:(?:[0-9a-fA-F]{1,4}):){2}(?:(:(?:[0-9a-fA-F]{1,4})){0,3}:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(:(?:[0-9a-fA-F]{1,4})){1,5}|:)|(?:(?:[0-9a-fA-F]{1,4}):){1}(?:(:(?:[0-9a-fA-F]{1,4})){0,4}:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(:(?:[0-9a-fA-F]{1,4})){1,6}|:)|(?::((?::(?:[0-9a-fA-F]{1,4})){0,5}:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(?::(?:[0-9a-fA-F]{1,4})){1,7}|:)))(%[0-9a-zA-Z-.:]{1,})?$
      3    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff] {1}
      3    0.0%    0.0%  LazyCompile: *weightAverage file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:109:18
      3    0.0%    0.0%  LazyCompile: *step file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/Simulate.js:6:22
      3    0.0%    0.0%  LazyCompile: *remove node:internal/linkedlist:15:16
      3    0.0%    0.0%  LazyCompile: *processPromiseRejections node:internal/process/promises:203:34
      3    0.0%    0.0%  LazyCompile: *onceWrapper node:events:504:21
      3    0.0%    0.0%  LazyCompile: *listenerCount node:events:722:23
      3    0.0%    0.0%  LazyCompile: *getEncodingOps node:buffer:678:24
      3    0.0%    0.0%  LazyCompile: *get isQuiet file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:152:16
      3    0.0%    0.0%  LazyCompile: *createWriteWrap node:internal/stream_base_commons:113:25
      3    0.0%    0.0%  LazyCompile: *createAsyncIterator node:internal/streams/readable:1111:36
      3    0.0%    0.0%  LazyCompile: *checkListener node:events:127:23
      3    0.0%    0.0%  LazyCompile: *checkInvalidHeaderChar node:_http_common:232:32
      3    0.0%    0.0%  LazyCompile: *Transform._write node:internal/streams/transform:178:38
      3    0.0%    0.0%  LazyCompile: *Socket.read node:net:639:33
      3    0.0%    0.0%  LazyCompile: *Readable.push node:internal/streams/readable:233:35
      3    0.0%    0.0%  LazyCompile: *Readable node:internal/streams/readable:186:18
      3    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/FutureDataManager.js:64:50
      3    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:43:95
      3    0.0%    0.0%  Function: ^writeOrBuffer node:internal/streams/writable:366:23
      3    0.0%    0.0%  Function: ^setDirection file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:98:17
      3    0.0%    0.0%  Function: ^pipelineImpl node:internal/streams/pipeline:172:22
      3    0.0%    0.0%  Function: ^parseAllValues file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:198:19
      3    0.0%    0.0%  Function: ^onwrite node:internal/streams/writable:426:17
      3    0.0%    0.0%  Function: ^isAbsolute node:path:1156:13
      3    0.0%    0.0%  Function: ^Timeout node:internal/timers:167:17
      3    0.0%    0.0%  Function: ^Socket.read node:net:639:33
      3    0.0%    0.0%  Function: ^OutgoingMessage node:_http_outgoing:97:25
      3    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:37:58
      2    0.0%    0.0%  RegExp: ^[a-zA-Z][a-zA-Z\d+\-.]*:
      2    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.0%  RegExp: [^\^_`a-zA-Z\-0-9!#$%&'*+.|~]
      2    0.0%    0.0%  LazyCompile: *shift node:internal/streams/buffer_list:38:8
      2    0.0%    0.0%  LazyCompile: *removeListener node:events:557:28
      2    0.0%    0.0%  LazyCompile: *popAsyncContext node:internal/async_hooks:545:25
      2    0.0%    0.0%  LazyCompile: *placeBuy file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:121:13
      2    0.0%    0.0%  LazyCompile: *parserOnBody node:_http_common:131:22
      2    0.0%    0.0%  LazyCompile: *parseParams node:internal/url:1078:21
      2    0.0%    0.0%  LazyCompile: *parse node:url:183:37
      2    0.0%    0.0%  LazyCompile: *onStreamRead node:internal/stream_base_commons:171:22
      2    0.0%    0.0%  LazyCompile: *isUint8Array node:internal/util/types:13:22
      2    0.0%    0.0%  LazyCompile: *insert node:internal/timers:350:16
      2    0.0%    0.0%  LazyCompile: *initAsyncResource node:internal/timers:157:27
      2    0.0%    0.0%  LazyCompile: *getDefaultTriggerAsyncId node:internal/async_hooks:433:34
      2    0.0%    0.0%  LazyCompile: *emitReadable_ node:internal/streams/readable:597:23
      2    0.0%    0.0%  LazyCompile: *emitBeforeScript node:internal/async_hooks:501:26
      2    0.0%    0.0%  LazyCompile: *clearBuffer node:internal/streams/writable:530:21
      2    0.0%    0.0%  LazyCompile: *arrayClone node:events:747:20
      2    0.0%    0.0%  LazyCompile: *_writeRaw node:_http_outgoing:344:19
      2    0.0%    0.0%  LazyCompile: *_getMaxListeners node:events:271:26
      2    0.0%    0.0%  LazyCompile: *Writable node:internal/streams/writable:219:18
      2    0.0%    0.0%  LazyCompile: *URLSearchParams node:internal/url:182:14
      2    0.0%    0.0%  LazyCompile: *ReadableState node:internal/streams/readable:83:23
      2    0.0%    0.0%  LazyCompile: *FastBuffer node:internal/buffer:958:14
      2    0.0%    0.0%  LazyCompile: *BasePlacer.truncDigits file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:25:37
      2    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:39:26
      2    0.0%    0.0%  Function: ^writeGeneric node:internal/stream_base_commons:151:22
      2    0.0%    0.0%  Function: ^validateString node:internal/validators:118:24
      2    0.0%    0.0%  Function: ^slice node:buffer:1115:40
      2    0.0%    0.0%  Function: ^sign /home/elihai/LaravelProjects/tradingBot/bot_core/node_modules/.pnpm/jwa@2.0.0/node_modules/jwa/index.js:146:22
      2    0.0%    0.0%  Function: ^setTimeout node:timers:140:20
      2    0.0%    0.0%  Function: ^setPosition node:internal/timers:411:21
      2    0.0%    0.0%  Function: ^placeSell file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:179:14
      2    0.0%    0.0%  Function: ^place file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:35:10
      2    0.0%    0.0%  Function: ^orderexecute file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/FutureDataManager.js:14:17
      2    0.0%    0.0%  Function: ^onWriteComplete node:internal/stream_base_commons:80:25
      2    0.0%    0.0%  Function: ^logStep file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:89:12
      2    0.0%    0.0%  Function: ^log file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Logger.js:15:8
      2    0.0%    0.0%  Function: ^handleWriteReq node:internal/stream_base_commons:45:24
      2    0.0%    0.0%  Function: ^getAll node:internal/url:334:9
      2    0.0%    0.0%  Function: ^get node:internal/bootstrap/pre_execution:326:8
      2    0.0%    0.0%  Function: ^fulfilled file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:4:27
      2    0.0%    0.0%  Function: ^fulfilled file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/Simulate.js:4:27
      2    0.0%    0.0%  Function: ^formatWithOptions node:internal/util/inspect:1883:27
      2    0.0%    0.0%  Function: ^formatRaw node:internal/util/inspect:796:19
      2    0.0%    0.0%  Function: ^endReadableNT node:internal/streams/readable:1333:23
      2    0.0%    0.0%  Function: ^emitCloseNT node:internal/streams/destroy:133:21
      2    0.0%    0.0%  Function: ^defaultTriggerAsyncIdScope node:internal/async_hooks:447:36
      2    0.0%    0.0%  Function: ^consumeBody file:///home/elihai/LaravelProjects/tradingBot/bot_core/node_modules/.pnpm/github.com+guillaume-fr+node-fetch@1bf62ab08dccf7f66f9df66e1819817fe991e60e/node_modules/node-fetch/src/body.js:194:27
      2    0.0%    0.0%  Function: ^calculateDirection file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:82:23
      2    0.0%    0.0%  Function: ^append node:internal/linkedlist:29:16
      2    0.0%    0.0%  Function: ^TLSSocket._init node:_tls_wrap:667:37
      2    0.0%    0.0%  Function: ^Socket.resume node:net:630:35
      2    0.0%    0.0%  Function: ^Readable.on node:internal/streams/readable:898:33
      2    0.0%    0.0%  Function: ^Readable.on /home/elihai/LaravelProjects/tradingBot/bot_core/node_modules/.pnpm/readable-stream@3.6.0/node_modules/readable-stream/lib/_stream_readable.js:804:34
      2    0.0%    0.0%  Function: ^Headers file:///home/elihai/LaravelProjects/tradingBot/bot_core/node_modules/.pnpm/github.com+guillaume-fr+node-fetch@1bf62ab08dccf7f66f9df66e1819817fe991e60e/node_modules/node-fetch/src/headers.js:51:13
      2    0.0%    0.0%  Function: ^Bucket /home/elihai/LaravelProjects/tradingBot/bot_core/node_modules/.pnpm/@google-cloud+storage@6.9.3/node_modules/@google-cloud/storage/build/src/bucket.js:340:16
